name	category	kind	module
FormalSystem.Automation.axiom_modal_t	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.axiom_prop_k	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.axiom_prop_s	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.axiom_modal_4	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.axiom_modal_b	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.axiom_temp_4	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.axiom_temp_a	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.modal_t_forward	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.modal_4_forward	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.modal_b_forward	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.temp_4_forward	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.temp_a_forward	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.prop_k_forward	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.prop_s_forward	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.apply_modus_ponens	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.apply_modal_k	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.apply_temporal_k	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.normalize_diamond	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.normalize_always	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.normalize_sometimes	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.normalize_some_past	data	def	FormalSystem.Automation.AesopRules
FormalSystem.Automation.ProofTrace.axioms_used	data	def	FormalSystem.Automation.DatasetGenerator
FormalSystem.Automation.ProofTrace.rules_applied	data	def	FormalSystem.Automation.DatasetGenerator
FormalSystem.Automation.InterestingnessMetrics.ProofData.axioms_used	data	def	FormalSystem.Automation.InterestingnessMetrics
FormalSystem.Automation.InterestingnessMetrics.ProofData.rules_applied	data	def	FormalSystem.Automation.InterestingnessMetrics
FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.w_OD	data	def	FormalSystem.Automation.InterestingnessMetrics
FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.w_PDR	data	def	FormalSystem.Automation.InterestingnessMetrics
FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.w_PRD	data	def	FormalSystem.Automation.InterestingnessMetrics
