old_name	target_final	full_target	category	module	usages	source
FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.w_ALD	wALD	FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.wALD	data	FormalSystem.Automation.InterestingnessMetrics	2	flagged
FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.w_IAD	wIAD	FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.wIAD	data	FormalSystem.Automation.InterestingnessMetrics	2	flagged
FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.w_OD	wOD	FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.wOD	data	FormalSystem.Automation.InterestingnessMetrics	2	flagged
FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.w_PDR	wPDR	FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.wPDR	data	FormalSystem.Automation.InterestingnessMetrics	2	flagged
FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.w_PR	wPR	FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.wPR	data	FormalSystem.Automation.InterestingnessMetrics	2	flagged
FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.w_PRD	wPRD	FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.wPRD	data	FormalSystem.Automation.InterestingnessMetrics	2	flagged
FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.w_SS	wSS	FormalSystem.Automation.InterestingnessMetrics.InterestingnessWeights.wSS	data	FormalSystem.Automation.InterestingnessMetrics	2	flagged
FormalSystem.Automation.InterestingnessMetrics.ProofData.axioms_used	axiomsUsed	FormalSystem.Automation.InterestingnessMetrics.ProofData.axiomsUsed	data	FormalSystem.Automation.InterestingnessMetrics	4	flagged
FormalSystem.Automation.InterestingnessMetrics.ProofData.rules_applied	rulesApplied	FormalSystem.Automation.InterestingnessMetrics.ProofData.rulesApplied	data	FormalSystem.Automation.InterestingnessMetrics	3	flagged
FormalSystem.Automation.LemmaDB.Parser.Attr.tm_lemma	tmLemma	FormalSystem.Automation.LemmaDB.Parser.Attr.tmLemma	data	FormalSystem.Automation.LemmaDB	0	flagged
FormalSystem.Automation.ProofStepExtractor.ProofStep.goal_folded_json	goalFoldedJson	FormalSystem.Automation.ProofStepExtractor.ProofStep.goalFoldedJson	data	FormalSystem.Automation.ProofStepExtractor	8	flagged
FormalSystem.Automation.ProofTrace.axioms_used	axiomsUsed	FormalSystem.Automation.ProofTrace.axiomsUsed	data	FormalSystem.Automation.DatasetGenerator	21	flagged
FormalSystem.Automation.ProofTrace.rules_applied	rulesApplied	FormalSystem.Automation.ProofTrace.rulesApplied	data	FormalSystem.Automation.DatasetGenerator	17	flagged
FormalSystem.Automation.advanced_heuristic_score	advancedHeuristicScore	FormalSystem.Automation.advancedHeuristicScore	data	FormalSystem.Automation.ProofSearch.Core	9	flagged
FormalSystem.Automation.apply_modal_k	applyModalK	FormalSystem.Automation.applyModalK	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.apply_modus_ponens	applyModusPonensRule	FormalSystem.Automation.applyModusPonensRule	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.apply_temporal_k	applyTemporalK	FormalSystem.Automation.applyTemporalK	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.axiom_modal_4	axiomModal4	FormalSystem.Automation.axiomModal4	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.axiom_modal_b	axiomModalB	FormalSystem.Automation.axiomModalB	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.axiom_modal_t	axiomModalT	FormalSystem.Automation.axiomModalT	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.axiom_prop_k	axiomPropK	FormalSystem.Automation.axiomPropK	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.axiom_prop_s	axiomPropS	FormalSystem.Automation.axiomPropS	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.axiom_temp_4	axiomTemp4	FormalSystem.Automation.axiomTemp4	data	FormalSystem.Automation.AesopRules	1	flagged
FormalSystem.Automation.axiom_temp_a	axiomTempA	FormalSystem.Automation.axiomTempA	data	FormalSystem.Automation.AesopRules	1	flagged
FormalSystem.Automation.batch_search_with_learning	batchSearchWithLearning	FormalSystem.Automation.batchSearchWithLearning	data	FormalSystem.Automation.ProofSearch.Strategies	0	flagged
FormalSystem.Automation.bestFirst_search	bestFirstSearch	FormalSystem.Automation.bestFirstSearch	data	FormalSystem.Automation.ProofSearch.Strategies	1	flagged
FormalSystem.Automation.bounded_search	boundedSearch	FormalSystem.Automation.boundedSearch	data	FormalSystem.Automation.ProofSearch.Core	7	flagged
FormalSystem.Automation.bounded_search_with_proof	boundedSearchWithProof	FormalSystem.Automation.boundedSearchWithProof	data	FormalSystem.Automation.ProofSearch.Core	13	flagged
FormalSystem.Automation.box_context	boxContext	FormalSystem.Automation.boxContext	data	FormalSystem.Automation.ProofSearch.Core	2	flagged
FormalSystem.Automation.extract_from_box	extractFromBox	FormalSystem.Automation.extractFromBox	data	FormalSystem.Automation.Tactics.Helpers	4	flagged
FormalSystem.Automation.extract_from_future	extractFromFuture	FormalSystem.Automation.extractFromFuture	data	FormalSystem.Automation.Tactics.Helpers	4	flagged
FormalSystem.Automation.find_implications_to	findImplicationsTo	FormalSystem.Automation.findImplicationsTo	data	FormalSystem.Automation.ProofSearch.Core	4	flagged
FormalSystem.Automation.future_context	futureContext	FormalSystem.Automation.futureContext	data	FormalSystem.Automation.ProofSearch.Core	2	flagged
FormalSystem.Automation.heuristic_score	heuristicScore	FormalSystem.Automation.heuristicScore	data	FormalSystem.Automation.ProofSearch.Core	10	flagged
FormalSystem.Automation.iddfs_search	iddfsSearch	FormalSystem.Automation.iddfsSearch	data	FormalSystem.Automation.ProofSearch.Core	11	flagged
FormalSystem.Automation.is_box_formula	isBoxFormula	FormalSystem.Automation.isBoxFormula	data	FormalSystem.Automation.Tactics.Helpers	6	flagged
FormalSystem.Automation.is_future_formula	isFutureFormula	FormalSystem.Automation.isFutureFormula	data	FormalSystem.Automation.Tactics.Helpers	5	flagged
FormalSystem.Automation.matches_axiom	matchesAxiom	FormalSystem.Automation.matchesAxiom	data	FormalSystem.Automation.ProofSearch.Core	47	flagged
FormalSystem.Automation.modal_4_forward	modal4Forward	FormalSystem.Automation.modal4Forward	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.modal_b_forward	modalBForward	FormalSystem.Automation.modalBForward	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.modal_heuristic_bonus	modalHeuristicBonus	FormalSystem.Automation.modalHeuristicBonus	data	FormalSystem.Automation.ProofSearch.Core	5	flagged
FormalSystem.Automation.modal_t_forward	modalTForward	FormalSystem.Automation.modalTForward	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.normalize_always	normalizeAlways	FormalSystem.Automation.normalizeAlways	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.normalize_diamond	normalizeDiamond	FormalSystem.Automation.normalizeDiamond	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.normalize_some_past	normalizeSomePast	FormalSystem.Automation.normalizeSomePast	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.normalize_sometimes	normalizeSometimes	FormalSystem.Automation.normalizeSometimes	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.pattern_aware_score	patternAwareScore	FormalSystem.Automation.patternAwareScore	data	FormalSystem.Automation.ProofSearch.Core	6	flagged
FormalSystem.Automation.pattern_stats	patternStats	FormalSystem.Automation.patternStats	data	FormalSystem.Automation.ProofSearch.Strategies	0	flagged
FormalSystem.Automation.prop_k_forward	propKForward	FormalSystem.Automation.propKForward	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.prop_s_forward	propSForward	FormalSystem.Automation.propSForward	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.search_with_cache	searchWithCache	FormalSystem.Automation.searchWithCache	data	FormalSystem.Automation.ProofSearch.Strategies	0	flagged
FormalSystem.Automation.search_with_heuristics	searchWithHeuristics	FormalSystem.Automation.searchWithHeuristics	data	FormalSystem.Automation.ProofSearch.Strategies	0	flagged
FormalSystem.Automation.search_with_learning	searchWithLearning	FormalSystem.Automation.searchWithLearning	data	FormalSystem.Automation.ProofSearch.Strategies	3	flagged
FormalSystem.Automation.structure_heuristic	structureHeuristic	FormalSystem.Automation.structureHeuristic	data	FormalSystem.Automation.ProofSearch.Core	5	flagged
