dir	pdf_occurrences	corrupted_count	accounted_count	precomposed	bare_pair	latex_macro	control_char	glyph_six	absent	unanchored
alechinamendlerdepaivaritter_2001_categorical_and_kripke_semantics_for_constructive_s4	0	0	0	0	0	0	0	0	0	0
arisakadasstrassburger_2015_onnestedsequentsforconstructivemodallogics	5	5	0	0	0	0	0	4	0	1
bacon_2018_broadest-necessity	18	18	0	0	0	0	16	0	0	2
baier_katoen_2008	819	819	0	0	0	0	354	1	13	451
biermandepaiva_2000_onanintuitionisticmodallogic	0	0	0	0	0	0	0	0	0	0
blackburn_2002	0	0	0	0	0	0	0	0	0	0
burgess_1982	0	0	0	0	0	0	0	0	0	0
burgess_1982_i	0	0	0	0	0	0	0	0	0	0
burgess_1982_ii	0	0	0	0	0	0	0	0	0	0
burgess_1982b	0	0	0	0	0	0	0	0	0	0
burgess_1984	0	0	0	0	0	0	0	0	0	0
caleiro_2013	17	1	16	0	16	0	0	0	0	1
chagrovzakharyaschev_1997_modallogic	0	0	0	0	0	0	0	0	0	0
courcoubetis_1992	6	6	0	0	0	0	0	1	0	5
derijke_1995	18	18	0	0	0	0	0	0	0	18
doets_1987	0	0	0	0	0	0	0	0	0	0
doets_1989	0	0	0	0	0	0	0	0	0	0
fine_2010_some-puzzles-of-ground	12	12	0	0	0	0	0	0	0	12
fine_2012_counterfactuals-without-possible-worlds	0	0	0	0	0	0	0	0	0	0
fine_2012_guide-to-ground	0	0	0	0	0	0	0	0	0	0
fine_2012_pure-logic-of-ground	0	0	0	0	0	0	0	0	0	0
gabbay_1993	0	0	0	0	0	0	0	0	0	0
gabbay_1994	0	0	0	0	0	0	0	0	0	0
gerth_1995	0	0	0	0	0	0	0	0	0	0
girard_1989	9	0	9	0	9	0	0	0	0	0
goldblatt_2003	15	12	3	0	0	3	0	0	0	12
hodkinson_2006	0	0	0	0	0	0	0	0	0	0
kupferman_vardi_2001	17	17	0	0	0	0	0	8	0	9
libkin_2004_ch3_ch7	168	168	0	0	0	0	0	0	1	167
marinmoralesstrassburger_2021_fully_labelled_proof_system_intuitionistic_modal	16	16	0	0	0	0	0	0	0	16
massacci_2000_single_step_tableaux_for_modal_logics	12	12	0	0	0	0	0	8	0	4
negri_von_plato_2001	0	0	0	0	0	0	0	0	0	0
obendrauf_2024	6	4	2	2	0	0	0	0	0	4
pacheco_2024_collapsingconstructiveandintuitionisticmodallogics	32	32	0	0	0	0	0	24	0	8
piterman_2007	12	12	0	0	0	0	0	3	0	9
rabinovich_2014	2	0	2	2	0	0	0	0	0	0
reynolds_1992	0	0	0	0	0	0	0	0	0	0
reynolds_1994	0	0	0	0	0	0	0	0	0	0
reynolds_2001	0	0	0	0	0	0	0	0	0	0
schewe_2009	11	11	0	0	0	0	0	4	2	5
schwoon_esparza_2005	1	1	0	0	0	0	0	1	0	0
simpson_1994_intuitionisticmodallogic	0	0	0	0	0	0	0	0	0	0
tarjan_1972	0	0	0	0	0	0	0	0	0	0
thomas_1997_languages	0	0	0	0	0	0	0	0	0	0
thomas_2003_reactive	0	0	0	0	0	0	0	0	0	0
thomason_1984	0	0	0	0	0	0	0	0	0	0
troelstra_schwichtenberg_2000	0	0	0	0	0	0	0	0	0	0
van_doorn_2015	1	1	0	0	0	0	0	0	1	0
vardi_1996	0	0	0	0	0	0	0	0	0	0
vardi_wolper_1986	0	0	0	0	0	0	0	0	0	0
venema_1991	0	0	0	0	0	0	0	0	0	0
venema_1993	38	32	6	0	0	6	0	0	1	31
venema_1993_since	2	1	1	0	0	1	0	0	0	1
venema_1997	19	15	4	0	0	4	0	0	0	15
venema_2001	2	2	0	0	0	0	0	0	0	2
verbrugge_2004	10	4	6	6	0	0	0	0	0	4
wijesekera_1990_constructivemodallogicsi	0	0	0	0	0	0	0	0	0	0
xu_1988	0	0	0	0	0	0	0	0	0	0
yan_2008	18	18	0	0	0	0	1	11	0	6
zielonka_1998	0	0	0	0	0	0	0	0	0	0
