id	stored_token_count	fresh_token_count	ratio	source_kind
blackburn_2002_book	0	360886	inf	canonical:35
burgess_1982_ii	5589	6878	1.2306	file
goldblatt_2003	15170	19177	1.2641	canonical:5
rabinovich_2014	7312	10320	1.4114	file
thomas_1997	1093	1455	1.3312	file
venema_1993_anti_axioms	22333	28044	1.2557	canonical:9
venema_1993_since_until	3927	4770	1.2147	canonical:2
burgess_1982b_sec01	3635	4434	1.2198	file
burgess_1984_sec01	3727	4500	1.2074	file
derijke_1995_sec02	2401	3287	1.369	file
doets_1987_sec02	3874	4703	1.214	file
doets_1987_sec03	1114	1700	1.526	file
gabbay_1994_ch10_sec03	1672	1385	0.8283	file
goldblatt_2003_sec01	3877	4729	1.2198	file
goldblatt_2003_sec02	2251	2732	1.2137	file
goldblatt_2003_sec03	4181	5228	1.2504	file
goldblatt_2003_sec04	3521	4288	1.2178	file
goldblatt_2003_sec05	1689	2279	1.3493	file
obendrauf_2024_sec04	3267	4303	1.3171	file
thomason_1984_sec06	207	261	1.2609	file
venema_1991_ch02_sec01	3927	4920	1.2529	file
venema_1991_ch02_sec02	3789	4765	1.2576	file
venema_1991_ch02_sec03	4051	5089	1.2562	file
venema_1991_ch02_sec04	2478	2987	1.2054	file
venema_1991_ch02_sec05	2824	3632	1.2861	file
venema_1991_ch02_sec06	3398	4246	1.2496	file
venema_1991_appA_sec01	3385	4133	1.221	file
venema_1991_appA_sec02	3652	4683	1.2823	file
venema_1991_appA_sec03	2583	3116	1.2063	file
venema_1993_sec01	1922	2308	1.2008	file
venema_1993_sec02	2965	3698	1.2472	file
venema_1993_sec03	1826	2282	1.2497	file
venema_1993_sec04	3253	4073	1.2521	file
venema_1993_sec05	1208	1527	1.2641	file
venema_1993_sec06	3704	4552	1.2289	file
venema_1993_sec09	2204	2896	1.314	file
venema_1993_since_sec02	154	216	1.4026	file
venema_1997_sec02	3487	4574	1.3117	file
venema_1997_sec03	1610	2019	1.254	file
venema_2001_sec04	3372	4065	1.2055	file
xu_1988_sec01	1195	1458	1.2201	file
xu_1988_sec05	247	325	1.3158	file
yan_2008_lower_bounds	16959	20832	1.2284	file
gerth_1995_onthefly_ltl	10153	12643	1.2452	file
courcoubetis_1992_memory_efficient	8348	10063	1.2054	file
tarjan_1972_depth_first_search	8725	10807	1.2386	file
schwoon_esparza_2005_onthefly	11342	13989	1.2334	file
baier_katoen_2008_part01	39848	56496	1.4178	file
baier_katoen_2008_part02	39848	50606	1.27	file
baier_katoen_2008_part03	39848	49499	1.2422	file
baier_katoen_2008_part05	39848	51030	1.2806	file
baier_katoen_2008_part08	39848	51789	1.2997	file
baier_katoen_2008_part09	39848	50424	1.2654	file
baier_katoen_2008_part10	39848	51664	1.2965	file
baier_katoen_2008_part11	39848	51949	1.3037	file
chagrovzakharyaschev_1997_modallogic	0	341620	inf	canonical:6
chagrovzakharyaschev_1997_modallogic_p00	4460	5872	1.3166	file
church_1956	0	264861	inf	canonical:7
church_1956_ch00	2961	4857	1.6403	file
gentzen_1935	0	29953	inf	canonical:5
hughes_1996	0	208505	inf	canonical:4
mendelson_2016	0	255467	inf	canonical:6
mendelson_2016_ch03	48314	39647	0.8206	file
zakharyaschev_2001	0	108010	inf	canonical:4
zakharyaschev_2001_sec00	2294	2895	1.262	file
negri_von_plato_2001	0	155826	inf	canonical:7
troelstra_schwichtenberg_2000	0	243669	inf	canonical:7
reynolds_2002_axioms_for_branching_time	0	14711	inf	chunks:43
barthe_dargenio_rezk_2011_secure_information_flow_self_composition	0	39993	inf	chunks:90
barthe_crespo_kunz_2011_relational_verification_product_programs	0	14475	inf	chunks:36
benton_2004_simple_relational_correctness_proofs	0	21723	inf	chunks:60
agrawal_bonakdarpour_2016_runtime_verification_k_safety_hyperltl	0	26429	inf	chunks:74
zhang_etal_2015_secverilog_timing_sensitive_information_flow	0	24585	inf	chunks:53
tiwari_etal_2009_glift_complete_information_flow_gates_up	0	22096	inf	chunks:61
johnstone_2002_sketches_of_an_elephant_vol1	0	296752	inf	chunks:799
johnstone_2002_sketches_of_an_elephant_vol2	0	478221	inf	chunks:1270
calcagno_2007_local-action-abstract-separation-logic	0	12110	inf	chunks:35
docherty_pym_2019_stone-dualities-separation-logics	0	44410	inf	chunks:104
jung_2018_iris-from-the-ground-up	0	58115	inf	chunks:161
ohearn_2007_resources-concurrency-local-reasoning	0	33397	inf	chunks:84
ohearn_2019_separation-logic-cacm	0	18909	inf	chunks:50
reynolds_2002_separation-logic	0	18401	inf	chunks:52
brookes_2007_semantics-concurrent-separation-logic	0	35512	inf	chunks:106
jipsen_litak_2017_algebraic-glimpse-bunched-implications	0	38362	inf	chunks:107
