id	category
bonakdarpour_sheinvald_2023_finite_word_hyperlanguages	both_schema
fadiheh_etal_2019_upec_processor_security_verification	both_schema
finkbeiner_etal_2017_monitoring_hyperproperties	both_schema
finkbeiner_etal_2018_rvhyper_runtime_verification_tool	both_schema
guarnieri_etal_2021_hardware_software_contracts_secure_speculation	both_schema
sousa_dillig_2016_cartesian_hoare_logic_k_safety	both_schema
9789004252882-bp000004	both_schema
the_modal_future_a_theory_of_future-directed_thought_and_talk_cariani_fabrizio_z-library.sk_1lib.sk_z-lib.sk	both_schema
wdb.cariani.santorio	both_schema
proofs_and_types	both_schema
van_doorn_2015_propositional_calculus_coq	both_schema
biermandepaiva_2000_onanintuitionisticmodallogic	both_schema
chagrovzakharyaschev_1997_modallogic	both_schema
wijesekera_1990_constructivemodallogicsi	both_schema
simpson_1994_intuitionisticmodallogic	both_schema
arisakadasstrassburger_2015_onnestedsequentsforconstructivemodallogics	both_schema
pacheco_2024_collapsingconstructiveandintuitionisticmodallogics	both_schema
alechinamendlerdepaivaritter_2001_categorical_and_kripke_semantics_for_constructive_s4	both_schema
marinmoralesstrassburger_2021_fully_labelled_proof_system_intuitionistic_modal	both_schema
massacci_2000_single_step_tableaux_for_modal_logics	both_schema
diamondsareforever	both_schema
johnstone_1999_discrete_conduche_fibrations	both_schema
bonakdarpour_sheinvald_2023_finite_word_hyperlanguages	absolute_chunks_dir
fadiheh_etal_2019_upec_processor_security_verification	absolute_chunks_dir
finkbeiner_etal_2017_monitoring_hyperproperties	absolute_chunks_dir
finkbeiner_etal_2018_rvhyper_runtime_verification_tool	absolute_chunks_dir
guarnieri_etal_2021_hardware_software_contracts_secure_speculation	absolute_chunks_dir
sousa_dillig_2016_cartesian_hoare_logic_k_safety	absolute_chunks_dir
9789004252882-bp000004	absolute_chunks_dir
the_modal_future_a_theory_of_future-directed_thought_and_talk_cariani_fabrizio_z-library.sk_1lib.sk_z-lib.sk	absolute_chunks_dir
wdb.cariani.santorio	absolute_chunks_dir
proofs_and_types	absolute_chunks_dir
van_doorn_2015_propositional_calculus_coq	absolute_chunks_dir
biermandepaiva_2000_onanintuitionisticmodallogic	absolute_chunks_dir
chagrovzakharyaschev_1997_modallogic	absolute_chunks_dir
wijesekera_1990_constructivemodallogicsi	absolute_chunks_dir
simpson_1994_intuitionisticmodallogic	absolute_chunks_dir
arisakadasstrassburger_2015_onnestedsequentsforconstructivemodallogics	absolute_chunks_dir
pacheco_2024_collapsingconstructiveandintuitionisticmodallogics	absolute_chunks_dir
alechinamendlerdepaivaritter_2001_categorical_and_kripke_semantics_for_constructive_s4	absolute_chunks_dir
marinmoralesstrassburger_2021_fully_labelled_proof_system_intuitionistic_modal	absolute_chunks_dir
massacci_2000_single_step_tableaux_for_modal_logics	absolute_chunks_dir
brics-rs-96-35	absolute_chunks_dir
cattani-winskel-2005-profunctors	absolute_chunks_dir
brics-rs-94-7	absolute_chunks_dir
schultz-spivak-temporal-type-theory	absolute_chunks_dir
fong-speranzon-spivak-temporal-landscapes	absolute_chunks_dir
schultz-spivak-vasilakopoulou-dynamical-systems-sheaves	absolute_chunks_dir
thomason-1970-indeterminist-time	absolute_chunks_dir
rutten-2000-universal-coalgebra	absolute_chunks_dir
jacobs-coalgebra-intro-draft	absolute_chunks_dir
danos-krivine-rccs	absolute_chunks_dir
reynolds-2003-ockhamist	absolute_chunks_dir
rumberg-zanardo-2019-transition-structures	absolute_chunks_dir
diamondsareforever	absolute_chunks_dir
johnstone_1999_discrete_conduche_fibrations	absolute_chunks_dir
j_nsson_and_tarski_-_1951_-_boolean_algebras_with_operators._part_i	absolute_chunks_dir
j_nsson_and_tarski_-_1952_-_boolean_algebras_with_operators._part_ii	absolute_chunks_dir
goldblatt_-_mathematical_modal_logic_a_view_of_its_evolution	absolute_chunks_dir
