id	proposed_doc_type	proposed_source_format	evidence
rutten-2000-universal-coalgebra	paper	pdf	Zotero PDF re-confirmed present at ~/Documents/Zotero/storage/2T5LMRXA/Rutten - 2000 - Universal coalgebra a theory of systems.pdf. Opened and inspected: first page reads "Theoretical Computer Science 249 (2000) 3-80 ... Universal coalgebra: a theory of systems / J.J.M.M. Rutten / CWI, P.O. Box 94079, 1090 GB Amsterdam, Netherlands" -- author, title, and year match the chunked entry exactly (Decision 1 same-work confirmation satisfied). doc_type: Theoretical Computer Science journal article, "Fundamental Study" section header on the PDF's first page -- paper.
rumberg-zanardo-2019-transition-structures	paper	pdf	Zotero PDF re-confirmed present at ~/Documents/Zotero/storage/N96JSRYT/Rumberg and Zanardo - 2019 - First-Order Definability of Transition Structures.pdf. Opened and inspected: first page reads "Journal of Logic, Language and Information (2019) 28:459-488 ... First-Order Definability of Transition Structures / Antje Rumberg / Alberto Zanardo" -- author, title, and year match the chunked entry exactly (Decision 1 same-work confirmation satisfied). doc_type: Journal of Logic, Language and Information article -- paper.
thomason-1970-indeterminist-time	paper	EXCLUDE	Zotero bibliographic record found (id "Thomason1970" in zotero-library.json): type article-journal, container-title "Theoria", volume 36, issue 3, pages 264-281, title "Indeterminist Time and Truth-Value Gaps", author Richmond H. Thomason, issued 1970, DOI 10.1111/j.1755-2567.1970.tb00427.x -- matches the chunked entry's title and running header exactly, grounding doc_type as a Theoria (1970) journal article (paper). No attached PDF file exists for this Zotero record (Wiley-hosted, paywalled). Filesystem search of ~/Documents/Zotero/storage found only a namesake-author near-miss, "Thomason - 1984 - Combinations of Tense and Modality.pdf" (a different paper, 14 years later, not this one). /tmp/task54-lit/thomason-1970-indeterminist-time.pdf confirmed absent in Phase 1. Per Phase 4's task item, a bibliographic record is not a source file, so source_format is EXCLUDE despite the doc_type evidence being solid.
brics-rs-96-35	paper	EXCLUDE	/tmp/task54-lit/brics-rs-96-35.pdf confirmed absent (Phase 1). Zotero filesystem search for author "Winskel" found zero matches in ~/Documents/Zotero/storage. No bibliographic record found in zotero-library.json either. doc_type: series line "BRICS Report Series RS-96-35, ISSN 0909-0878, October 1996, Copyright BRICS, Department of Computer Science" (read in Phase 2) identifies this as a BRICS technical report; the corpus vocabulary {chapter, paper, book, section, manuscript, survey, thesis} has no "report" value. "paper" is selected as nearest: this is a standalone, self-contained piece of original research writing with an abstract, sections, and references, formally issued with an ISSN in the BRICS series -- closer to "paper" than to "manuscript" (which implies informal/unpublished, whereas this carries a formal ISSN-registered series identifier), "chapter"/"section" (implies part of a larger work, which this is not), "survey" (implies a literature overview, not original research), or "book"/"thesis" (wrong scale/genre entirely).
brics-rs-94-7	paper	EXCLUDE	/tmp/task54-lit/brics-rs-94-7.pdf confirmed absent (Phase 1). Zotero filesystem search for authors "Joyal" and "Winskel" found zero matches in ~/Documents/Zotero/storage; no bibliographic record in zotero-library.json. doc_type: series line "BRICS Report Series RS-94-7, ISSN 0909-0878, May 1994, Copyright BRICS, Department of Computer Science" (read in Phase 2) identifies this as a BRICS technical report; same "report"-value-absent reasoning as brics-rs-96-35 applies -- "paper" selected as nearest for the same reasons (formally ISSN-registered standalone research report, not an informal manuscript, not part of a larger work).
cattani-winskel-2005-profunctors	paper	EXCLUDE	/tmp/task54-lit/cattani-winskel-2005-profunctors.pdf confirmed absent (Phase 1). Zotero filesystem search for authors "Cattani" and "Winskel" found zero matches in ~/Documents/Zotero/storage; no bibliographic record in zotero-library.json. doc_type: title page read in Phase 2, "BRICS RS-04-22 Cattani & Winskel: Profunctors, Open Maps and Bisimulation" -- a BRICS technical report by the same series as the two RS-report entries above; "paper" selected as nearest for the identical reasoning (the id's "2005" may reflect a later journal republication not directly observed in the chunked text, but the chunked document itself is the BRICS report).
schultz-spivak-temporal-type-theory	book	EXCLUDE	/tmp/task54-lit/schultz-spivak-temporal-type-theory.pdf confirmed absent (Phase 1). Zotero filesystem search for author "Spivak" found only "Fong and Spivak - 2019 - An Invitation to Applied Category Theory Seven Sketches in Compositionality.pdf" -- a different book by an overlapping but not identical author set (Fong & Spivak, not Schultz & Spivak), on a different subject (applied category theory generally, not temporal type theory); named explicitly as the near-miss so a future search does not re-find it hopefully. No entry for "Schultz" found anywhere in Zotero. doc_type: explicit self-reference read in Phase 2, "In this book we provide a new mathematical formalism..." with "Chapter 1"/"Chapter 6" numbering -- this is the book itself, not an excerpted chapter -- book.
fong-speranzon-spivak-temporal-landscapes	paper	EXCLUDE	/tmp/task54-lit/fong-speranzon-spivak-temporal-landscapes.pdf confirmed absent (Phase 1). Zotero filesystem search for authors "Fong" and "Spivak" found only "Fong and Spivak - 2019 - An Invitation to Applied Category Theory Seven Sketches in Compositionality.pdf" -- a different, co-authored-without-Speranzon book on a different subject (this is the same near-miss identified for schultz-spivak-temporal-type-theory above; the two entries share the same negative-search near-miss because both list "Spivak" as an author). No entry for "Speranzon" found anywhere in Zotero. doc_type: title/author block read in Phase 2, "Temporal Landscapes: A Graphical Logic of Behavior" by Brendan Fong, Alberto Speranzon, David I. Spivak (Topos Institute / Honeywell Aerospace / MIT LIDS), proceedings-style page number 282 -- paper.
schultz-spivak-vasilakopoulou-dynamical-systems-sheaves	paper	EXCLUDE	/tmp/task54-lit/schultz-spivak-vasilakopoulou-dynamical-systems-sheaves.pdf confirmed absent (Phase 1). Zotero filesystem search for authors "Schultz", "Spivak", "Vasilakopoulou" found only the same "Fong and Spivak - 2019" near-miss noted above (matched on "Spivak"). No entry for "Vasilakopoulou" found. doc_type: title/identifier block read in Phase 2, "DYNAMICAL SYSTEMS AND SHEAVES" by Patrick Schultz, David I. Spivak, Christina Vasilakopoulou, with explicit "arXiv:1609.08086v4 [math.CT] 15 Mar 2019" identifier -- an arXiv preprint paper.
danos-krivine-rccs	paper	EXCLUDE	/tmp/task54-lit/danos-krivine-rccs.pdf confirmed absent (Phase 1). Zotero filesystem search for authors "Danos" and "Krivine" found zero matches in ~/Documents/Zotero/storage; no bibliographic record in zotero-library.json. doc_type: HAL citation block read in Phase 2, "Vincent Danos, Jean Krivine. Reversible Communicating Systems. CONCUR, 2004, Londres, United Kingdom. pp.292-307. <hal-00784051>" -- a CONCUR 2004 conference paper.
reynolds-2003-ockhamist	paper	EXCLUDE	/tmp/task54-lit/reynolds-2003-ockhamist.pdf confirmed absent (Phase 1). Zotero filesystem search for author "Reynolds" found "Reynolds - 1992 - An axiomatization for until and since over the reals without the IRR rule.pdf" -- a different paper by the same author, 11 years earlier, on a different topic (until/since over the reals, not Ockhamist branching-time necessity); named explicitly as the near-miss so a future search does not re-find it hopefully. No 2003 Reynolds entry found. doc_type: volume/venue line read in Phase 3, "Advances in Modal Logic, Volume 4, 355-370, 2003, the author" with running header "Mark Reynolds" -- an Advances in Modal Logic (AiML) Volume 4 (2003) conference proceedings paper.
jacobs-coalgebra-intro-draft	manuscript	EXCLUDE	/tmp/task54-lit/jacobs-coalgebra-intro-draft.pdf confirmed absent (Phase 1). Zotero filesystem search for author "Jacobs" found "Jacobs - 2001 - Categorical Logic and Type Theory Volume 141.pdf" -- a different, published book (Studies in Logic series) on a broader subject (categorical logic and type theory generally, not a coalgebra-focused introduction), and from 2001 rather than the undated draft state this entry represents; named explicitly as the near-miss so a future search does not re-find it hopefully. doc_type: front matter read in Phase 2, "Version 2.00, September..." and "(Please check the latest version on the web first...)" -- an explicit work-in-progress draft, not a finished/published book -- manuscript.
