id	chunk_count	chunks_dir	provenance_fidelity	doc_type	source_format
brics-rs-96-35	38	/home/benjamin/Projects/Literature/brics-rs-96-35			
cattani-winskel-2005-profunctors	129	/home/benjamin/Projects/Literature/cattani-winskel-2005-profunctors			
brics-rs-94-7	76	/home/benjamin/Projects/Literature/brics-rs-94-7			
schultz-spivak-temporal-type-theory	236	/home/benjamin/Projects/Literature/schultz-spivak-temporal-type-theory			
fong-speranzon-spivak-temporal-landscapes	31	/home/benjamin/Projects/Literature/fong-speranzon-spivak-temporal-landscapes			
schultz-spivak-vasilakopoulou-dynamical-systems-sheaves	45	/home/benjamin/Projects/Literature/schultz-spivak-vasilakopoulou-dynamical-systems-sheaves			
thomason-1970-indeterminist-time	77	/home/benjamin/Projects/Literature/thomason-1970-indeterminist-time			
rutten-2000-universal-coalgebra	353	/home/benjamin/Projects/Literature/rutten-2000-universal-coalgebra			
jacobs-coalgebra-intro-draft	1448	/home/benjamin/Projects/Literature/jacobs-coalgebra-intro-draft			
danos-krivine-rccs	32	/home/benjamin/Projects/Literature/danos-krivine-rccs			
reynolds-2003-ockhamist	29	/home/benjamin/Projects/Literature/reynolds-2003-ockhamist			
rumberg-zanardo-2019-transition-structures	41	/home/benjamin/Projects/Literature/rumberg-zanardo-2019-transition-structures			
