tier	file	line	kind	name	attrs	boneyard_refs	orphan_module
SURVIVOR	FormalSystem/Automation/AtomCanonicalization.lean	129	def	isCanonical		0	
SURVIVOR	FormalSystem/Automation/ContrastiveGeneratorMain.lean	775	def	natToString		0	
SURVIVOR	FormalSystem/Automation/ContrastiveGeneratorMain.lean	1074	def	runBatchContrastive		0	
SURVIVOR	FormalSystem/Automation/DatasetGenerator.lean	1022	def	DecideCache.hitRate		0	
SURVIVOR	FormalSystem/Automation/FormulaEnumerator.lean	1278	def	schemaMinFrameClass		0	
SURVIVOR	FormalSystem/Automation/FormulaEnumerator.lean	1479	def	generateValidFromMP		0	
SURVIVOR	FormalSystem/Automation/FormulaEnumerator.lean	1761	structure	CheckpointState		0	
SURVIVOR	FormalSystem/Automation/FormulaEnumerator.lean	2293	def	enumerateWithPipeline		0	
SURVIVOR	FormalSystem/Automation/ForwardProofGenerator.lean	187	def	schemaLayer		0	
SURVIVOR	FormalSystem/Automation/ForwardProofGenerator.lean	202	def	randomAxiomSchema		0	
SURVIVOR	FormalSystem/Automation/PrefilterSoundness.lean	161	theorem	false_consequent_not_truth		0	
SURVIVOR	FormalSystem/Automation/ProofSearch/Core.lean	945	def	orderSubgoalsByPatternScore		0	
SURVIVOR	FormalSystem/Automation/ProofSearch/Strategies.lean	377	def	patternStats		0	
SURVIVOR	FormalSystem/Automation/SuccessPatterns.lean	319	def	bestStrategyHint		0	
SURVIVOR	FormalSystem/Automation/Tactics/Search.lean	342	def	extractImplicationAntecedent		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	97	theorem	intTimeFrame_serial		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	103	theorem	intTimeFrame_interpolates		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	108	theorem	intTimeFrame_limit		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	116	theorem	intTimeFrame_saturation		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	173	theorem	intNatFrame_serial		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	179	theorem	intNatFrame_interpolates		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	186	theorem	intNatFrame_limit		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	193	theorem	intNatFrame_saturation		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	264	theorem	intBoolFrame_serial		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	270	theorem	intBoolFrame_interpolates		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	275	theorem	intBoolFrame_limit		0	
SURVIVOR	FormalSystem/Examples/TemporalStructures.lean	289	theorem	intBoolFrame_saturation		0	
